"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"/home/gobi/Roomapp/backend/package-lock.json", "JSON", 0, -2754, 0, 0, 0, -1, -2755
"/home/gobi/Roomapp/backend/package.json", "JSON", 0, 3, 0, 0, 0, 0, 3
"/home/gobi/Roomapp/backend/src/COnfig/db.ts", "TypeScript", 0, 0, 4, 0, 0, -1, 3
"/home/gobi/Roomapp/backend/src/Controllers/jwttokenverify.ts", "TypeScript", 0, 0, 22, 0, 3, 6, 31
"/home/gobi/Roomapp/backend/src/Routes/global.ts", "TypeScript", 0, 0, 122, 0, 8, -2, 128
"/home/gobi/Roomapp/backend/src/index.ts", "TypeScript", 0, 0, 1, 0, 2, 3, 6
"/home/gobi/Roomapp/backend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 1, 1
"/home/gobi/Roomapp/frontend/Room-app/package-lock.json", "JSON", 0, -10356, 0, 0, 0, -1, -10357
"/home/gobi/Roomapp/frontend/Room-app/package.json", "JSON", 0, 5, 0, 0, 0, 0, 5
"/home/gobi/Roomapp/frontend/Room-app/src/App.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 4
"/home/gobi/Roomapp/frontend/Room-app/src/components/Locationcomponent.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 5, 35
"/home/gobi/Roomapp/frontend/Room-app/src/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 126, 0, 14, 140
"/home/gobi/Roomapp/frontend/Room-app/src/components/ui/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 0, 1
"/home/gobi/Roomapp/frontend/Room-app/src/hooks/brudcrumbhooks.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 2
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Owner/Ownercomponents/CreateRoom.tsx", "TypeScript JSX", 0, 0, 0, 310, 8, 11, 329
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Owner/Ownercomponents/Editroom.tsx", "TypeScript JSX", 0, 0, 0, 418, 12, 16, 446
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Owner/Ownercomponents/Olistroom.tsx", "TypeScript JSX", 0, 0, 0, 171, 3, 4, 178
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Owner/Ownercomponents/OwnerHome.tsx", "TypeScript JSX", 0, 0, 0, 68, 2, 10, 80
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Owner/Ownercomponents/Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 89, 0, 3, 92
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/Ownercomponents/CreateRoom.tsx", "TypeScript JSX", 0, 0, 0, -285, -6, -11, -302
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/Ownercomponents/Editroom.tsx", "TypeScript JSX", 0, 0, 0, -394, -13, -15, -422
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/Ownercomponents/Olistroom.tsx", "TypeScript JSX", 0, 0, 0, -128, -1, -5, -134
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/Ownercomponents/OwnerHome.tsx", "TypeScript JSX", 0, 0, 0, -46, 0, -10, -56
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/Ownercomponents/Sidebar.tsx", "TypeScript JSX", 0, 0, 0, -66, 0, -3, -69
"/home/gobi/Roomapp/frontend/Room-app/src/pages/Ownerhome/index.tsx", "TypeScript JSX", 0, 0, 0, 0, -51, -2, -53
"/home/gobi/Roomapp/frontend/Room-app/src/pages/User/UserBookingpage.tsx", "TypeScript JSX", 0, 0, 0, 273, 5, 5, 283
"/home/gobi/Roomapp/frontend/Room-app/src/pages/User/Userhome.tsx", "TypeScript JSX", 0, 0, 0, 207, 4, 4, 215
"/home/gobi/Roomapp/frontend/Room-app/src/pages/login/index.tsx", "TypeScript JSX", 0, 0, 0, 4, 1, 4, 9
"/home/gobi/Roomapp/frontend/Room-app/src/store/slice.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 4
"/home/gobi/Roomapp/frontend/Room-app/vite.config.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 3
"Total", "-", 0, -13102, 156, 784, -23, 35, -12150
