Date : 2025-01-05 07:32:50
Directory : /home/gobi/Roomapp
Total : 74 files,  5437 codes, 249 comments, 512 blanks, all 6198 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         45 |      4,395 |         71 |        391 |      4,857 |
| TypeScript         |         13 |        621 |         34 |         88 |        743 |
| JSON               |          5 |        186 |          4 |          9 |        199 |
| JavaScript         |          3 |         99 |          1 |          4 |        104 |
| CSS                |          2 |         47 |        139 |          6 |        192 |
| Markdown           |          1 |         43 |          0 |         10 |         53 |
| JSON with Comments |          2 |         31 |          0 |          3 |         34 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         74 |      5,437 |        249 |        512 |      6,198 |
| backend                                                                               |          9 |        447 |         27 |         46 |        520 |
| backend (Files)                                                                       |          2 |         57 |          0 |          3 |         60 |
| backend/src                                                                           |          7 |        390 |         27 |         43 |        460 |
| backend/src (Files)                                                                   |          1 |         24 |          5 |          8 |         37 |
| backend/src/COnfig                                                                    |          1 |         15 |          1 |          2 |         18 |
| backend/src/Controllers                                                               |          1 |         22 |          3 |          6 |         31 |
| backend/src/Routes                                                                    |          2 |        258 |         17 |         23 |        298 |
| backend/src/Routes (Files)                                                            |          1 |        258 |         17 |         22 |        297 |
| backend/src/Routes/ownerRoutes                                                        |          1 |          0 |          0 |          1 |          1 |
| backend/src/models                                                                    |          2 |         71 |          1 |          4 |         76 |
| frontend                                                                              |         65 |      4,990 |        222 |        466 |      5,678 |
| frontend/Room-app                                                                     |         65 |      4,990 |        222 |        466 |      5,678 |
| frontend/Room-app (Files)                                                             |         11 |        329 |          5 |         25 |        359 |
| frontend/Room-app/public                                                              |          1 |          1 |          0 |          0 |          1 |
| frontend/Room-app/src                                                                 |         53 |      4,660 |        217 |        441 |      5,318 |
| frontend/Room-app/src (Files)                                                         |          5 |         91 |        141 |         11 |        243 |
| frontend/Room-app/src/app                                                             |          1 |         30 |          0 |          3 |         33 |
| frontend/Room-app/src/app/login                                                       |          1 |         30 |          0 |          3 |         33 |
| frontend/Room-app/src/assets                                                          |          1 |          1 |          0 |          0 |          1 |
| frontend/Room-app/src/components                                                      |         26 |      2,390 |         12 |        280 |      2,682 |
| frontend/Room-app/src/components (Files)                                              |          3 |         80 |          0 |         14 |         94 |
| frontend/Room-app/src/components/ui                                                   |         23 |      2,310 |         12 |        266 |      2,588 |
